order,ID,Post ID,Title,Published,Updated,Note
,610,2417,It's Time to Go Home,2018-05-31 12:00:56,2024-01-01 23:12:32,
,1781,23376,Last Night in Tulsa,2020-12-10 13:00:00,2021-12-21 14:42:42,
,781,5196,Like a Stranger,2018-10-28 12:00:24,2019-04-14 23:26:04,
,2394,33511,Living in Rock and Roll,2022-03-27 12:00:00,2022-03-27 06:13:59,
,828,6209,Look Towards the Land,2018-12-10 13:00:48,2021-12-15 03:23:29,
,1588,20377,Love Is a Crazy Thing,2020-08-12 12:00:00,2023-01-02 00:03:44,
,1991,27152,Magic Kind of Loving,2021-05-10 12:00:00,2021-05-10 12:29:15,
,2095,29684,Make Up Your Mind,2021-09-21 12:00:00,2021-09-21 12:12:39,
,842,6280,Mistress Annie/Sweet Miss Sally,2018-12-22 09:55:34,2024-01-02 00:20:11,
,1492,18297,Natural Magic,2020-05-19 12:00:00,2020-12-23 16:06:52,
,1357,15117,She's a Woman,2020-01-24 13:00:00,2023-01-01 21:06:16,
,415,7315,She's Leaving,2011-01-26 13:00:42,2025-11-16 00:04:31,
,1054,8490,Sometimes at Night,2019-05-22 12:00:00,2019-12-06 05:45:32,
,656,3034,Sure Can Feel the Pain,2018-07-15 12:00:22,2019-04-14 17:30:46,
,3123,52380,Talking About My Baby,2024-07-02 16:00:00,2024-07-02 15:17:42,
,1871,23949,The Band's Just Boppin' the Blues,2021-01-19 13:00:00,2021-01-19 04:43:12,
,686,3659,When You Dance,2018-08-12 12:00:29,2024-01-01 23:36:28,
,893,7404,Why's It So Hard,2019-02-11 13:00:33,2020-07-09 15:47:25,
,1688,22587,You Don't Leave Me No Choice,2020-11-07 13:00:00,2020-11-07 14:13:41,
,1345,15485,You Mean So Much to Me,2020-01-13 13:00:00,2024-01-02 19:23:41,
,,,SOLO (1972?),,,
,410,16061,Family Song,2020-02-23 13:00:00,2023-01-03 21:44:50,
,1394,20495,Lady and the Doctor,2011-01-21 13:00:00,2025-11-16 23:18:09,
,2839,47086,Water Station,2023-12-24 13:30:00,2024-01-04 00:41:46,Highlands 72 One Off? Segued into Baby Please Don’t Go/Saint in the City
