title,url,published,updated
"Where the Band Was: Virginia Beach, September 5, 2016",/2018/09/05/where-the-band-was-virginia-beach-september-5-2016/,2018-09-05T05:45:50-07:00,2023-09-04T16:19:57-07:00
"Where the Band Was: East Rutherford, August 25, 2016",/2018/08/25/where-the-band-was-east-rutherford-august-25-2016/,2018-08-25T06:00:23-07:00,2021-08-17T19:12:27-07:00
"Where the Band Was: Kansas City, August 24, 2008",/2018/08/24/where-the-band-was-kansas-city-august-24-2008/,2018-08-24T05:47:51-07:00,2022-08-02T13:22:00-07:00
"Where the Band Was: East Rutherford, August 23, 2016",/2018/08/23/where-the-band-was-east-rutherford-august-23-2016/,2018-08-23T05:33:42-07:00,2022-12-28T06:25:24-08:00
"Where the Band Was: St. Louis, August 23, 2008",/2018/08/23/where-the-band-was-st-louis-august-23-2008/,2018-08-23T05:09:14-07:00,2023-08-19T10:43:49-07:00
"Where the Band Was: Tacoma, August 21, 2002",/2018/08/21/where-the-band-was-tacoma-august-21-2002/,2018-08-21T06:00:59-07:00,2022-12-28T06:16:52-08:00
"Where the Band Was: San Francisco, August 16, 2003",/2018/08/16/where-the-band-was-san-francisco-august-16-2003/,2018-08-16T06:00:11-07:00,2022-12-28T06:19:48-08:00
"Where the Band Was: Boston, August 15, 2012",/2018/08/15/where-the-band-was-boston-august-15-2012/,2018-08-15T06:00:28-07:00,2023-08-14T18:54:13-07:00
"Where the Band Was: Boston, August 14, 2012",/2018/08/14/where-the-band-was-boston-august-14-2012/,2018-08-14T06:00:25-07:00,2023-08-05T15:33:35-07:00
"Where the Band Was: Vancouver, August 13, 2005",/2018/08/13/where-the-band-was-vancouver-august-13-2005/,2018-08-13T06:00:50-07:00,2023-08-05T15:17:36-07:00
"Where the Band Was: Seattle, August 11, 2005",/2018/08/11/where-the-band-was-seattle-august-11-2005/,2018-08-11T06:00:45-07:00,2023-08-05T15:25:23-07:00
"Where the Band Was: Portland, August 10, 2005",/2018/08/10/where-the-band-was-portland-august-10-2005/,2018-08-10T06:00:20-07:00,2022-12-28T06:15:26-08:00
"Where the Band Was: Rome, July 16, 2016",/2018/07/16/where-the-band-was-rome-july-16-2016/,2018-07-16T06:00:29-07:00,2022-06-29T17:36:39-07:00
"Where the Band Was: Gijon, June 26, 2013",/2018/06/26/where-the-band-was-gijon-june-26-2013/,2018-06-26T06:00:16-07:00,2025-06-15T09:39:19-07:00
"Where the Band Was: Glendale, June 3, 2006",/2018/06/03/where-the-band-was-glendale-june-3-2006/,2018-06-03T06:00:23-07:00,2023-05-30T18:40:17-07:00
"Where the Band Was: Uncasville, May 18, 2014",/2018/05/18/where-the-band-was-uncasville-may-18-2014/,2018-05-18T06:00:47-07:00,2025-05-04T09:47:11-07:00
"Where the Band Was: Uncasville, May 17, 2014",/2018/05/17/where-the-band-was-uncasville-may-17-2014/,2018-05-17T06:00:08-07:00,2025-05-04T09:44:58-07:00
"Where the Band Was: Hershey, May 14, 2014",/2018/05/14/where-the-band-was-hershey-may-14-2014/,2018-05-14T06:00:11-07:00,2022-05-10T16:08:56-07:00
"Where the Band Was: Houston, May 6, 2014",/2018/05/06/where-the-band-was-houston-may-6-2014/,2018-05-06T06:00:33-07:00,2025-04-28T16:08:17-07:00
"Where the Band Was: Oakland, May 5, 2005",/2018/05/05/where-the-band-was-oakland-may-5-2005/,2018-05-05T06:00:07-07:00,2023-05-04T10:05:32-07:00
"Where the Band Was: Greensboro, May 2, 2009",/2018/05/02/where-the-band-was-greensboro-may-2-2009/,2018-05-02T06:00:27-07:00,2022-12-28T05:26:11-08:00
"Where the Band Was: Philadelphia, April 29, 2009",/2018/04/29/where-the-band-was-philadelphia-april-29-2009/,2018-04-29T06:00:52-07:00,2025-04-21T15:09:31-07:00
"Where the Band Was: Philadelphia, April 28, 2009",/2018/04/28/where-the-band-was-philadelphia-april-28-2009/,2018-04-28T06:00:50-07:00,2022-12-28T05:20:21-08:00
"Where the Band Was: Los Angeles, April 27, 2012",/2018/04/27/where-the-band-was-los-angeles-april-27-2012/,2018-04-27T06:00:44-07:00,2021-12-12T06:03:32-08:00
"Where the Band Was: Los Angeles, April 26, 2012",/2018/04/26/where-the-band-was-los-angeles-april-26-2012/,2018-04-26T06:00:39-07:00,2023-04-25T14:51:40-07:00
"Where the Band Was: San Jose, April 24, 2012",/2018/04/24/where-the-band-was-san-jose-april-24-2012/,2018-04-24T06:00:53-07:00,2021-12-12T06:05:18-08:00
"Where the Band Was: Charlotte, April 19, 2014",/2018/04/19/where-the-band-was-charlotte-april-19-2014/,2018-04-19T06:00:21-07:00,2025-04-15T15:55:10-07:00
"Where the Band Was: Vancouver, April 11, 2003",/2018/04/11/where-the-band-was-vancouver-april-11-2003/,2018-04-11T06:00:55-07:00,2022-04-11T21:56:10-07:00
"Where the Band Was: Tacoma, April 4, 2000",/2018/04/04/where-the-band-was-tacoma-april-4-2000/,2018-04-04T06:00:03-07:00,2024-03-30T16:40:54-07:00
"Where the Band Was: Vancouver, March 31, 2008",/2018/03/31/where-the-band-was-vancouver-march-31-2008/,2018-03-31T06:00:48-07:00,2019-11-25T19:27:05-08:00
"Where the Band Was: Seattle, March 29, 2008",/2018/03/29/where-the-band-was-seattle-march-29-2008/,2018-03-29T06:00:46-07:00,2023-03-26T16:37:08-07:00
"Where the Band Was: Portland, March 28, 2008",/2018/03/28/where-the-band-was-portland-march-28-2008/,2018-03-28T06:00:40-07:00,2024-03-24T13:00:32-07:00
"Where the Band Was: Seattle, March 24, 2016",/2018/03/24/where-the-band-was-seattle-march-24-2016/,2018-03-24T06:00:19-07:00,2021-12-11T20:27:35-08:00
"Where the Band Was: Portland, March 22, 2016",/2018/03/22/where-the-band-was-portland-march-22-2016/,2018-03-22T06:00:39-07:00,2019-03-10T20:15:12-07:00
"Where the Band Was: Greensboro, March 19, 2012",/2018/03/19/where-the-band-was-greensboro-march-19-2012/,2018-03-19T10:00:55-07:00,2019-03-15T14:46:02-07:00
"Where the Band Was: Los Angeles, March 19, 2016",/2018/03/19/where-the-band-was-los-angeles-march-19-2016/,2018-03-19T05:30:55-07:00,2021-03-13T13:07:13-08:00
"Where the Band Was: Atlanta, March 18, 2012",/2018/03/18/where-the-band-was-atlanta-march-18-2012/,2018-03-18T06:00:51-07:00,2024-02-28T17:56:52-08:00
"Where the Band Was: Los Angeles, March 17, 2016",/2018/03/17/where-the-band-was-los-angeles-march-17-2016/,2018-03-17T06:00:22-07:00,2022-12-27T22:10:18-08:00
"Where the Band Was: Los Angeles, March 15, 2016",/2018/03/15/where-the-band-was-los-angeles-march-15-2016/,2018-03-15T06:00:36-07:00,2022-12-27T22:12:50-08:00
"Where the Band Was: Oakland, March 13, 2016",/2018/03/13/where-the-band-was-oakland-march-13-2016/,2018-03-13T06:00:38-07:00,2023-03-08T15:05:46-08:00
"Where the Band Was: Philadelphia, February 12, 2016",/2018/02/12/where-the-band-was-philadelphia-february-12-2016/,2018-02-12T07:00:15-08:00,2022-12-27T22:04:13-08:00
"Where the Band Was: Cape Town, January 29, 2014",/2018/01/29/where-the-band-was-cape-town-january-29-2014/,2018-01-29T08:00:41-08:00,2024-01-23T20:47:38-08:00
"Where the Band Was: Cape Town, January 28, 2014",/2018/01/28/where-the-band-was-cape-town-january-28-2014/,2018-01-28T08:45:28-08:00,2024-01-23T20:46:10-08:00
