title,url,published,updated
Cover Me: Down the Road Apiece,/2020/11/25/cover-me-down-the-road-apiece/,2020-11-25T05:00:00-08:00,2023-01-01T18:35:28-08:00
"MatR: Paul McCartney, Billy Joel, Bruce Springsteen and more: Let It Be",/2020/11/23/matr-paul-mccartney-billy-joel-bruce-springsteen-and-more-let-it-be/,2020-11-23T05:00:00-08:00,2020-11-23T05:52:11-08:00
"MatR: Elvis Costello, Bruce Springsteen, and Nils Lofgren: Black Ladder",/2020/11/16/matr-elvis-costello-bruce-springsteen-and-nils-lofgren-black-ladder/,2020-11-16T05:00:00-08:00,2020-11-16T05:23:09-08:00
"MatR: Neil Young, Bruce Springsteen, and Nils Lofgren: Helpless",/2020/11/11/matr-neil-young-bruce-springsteen-and-nils-lofgren-helpless/,2020-11-11T05:00:00-08:00,2020-11-11T16:38:19-08:00
MatR: Elvis Costello and Bruce Springsteen: Alison,/2020/11/08/matr-elvis-costello-and-bruce-springsteen-alison/,2020-11-08T05:00:00-08:00,2021-12-20T22:00:26-08:00
MatR: Billy Joel and Bruce Springsteen: The River of Dreams,/2020/10/27/matr-billy-joel-and-bruce-springsteen-the-river-of-dreams/,2020-10-27T05:00:00-07:00,2021-12-20T18:20:04-08:00
Spare Parts: Warren Zevon: Jeannie Needs a Shooter,/2020/10/23/spare-parts-warren-zevon-jeannie-needs-a-shooter/,2020-10-23T05:00:00-07:00,2020-10-23T05:04:50-07:00
American Babylon: A Retrospective,/2020/10/17/american-babylon-a-retrospective/,2020-10-17T05:00:00-07:00,2024-01-02T13:47:10-08:00
MatR: Bruce Springsteen and Pete Seeger: Hobo’s Lullaby,/2020/10/15/matr-bruce-springsteen-and-pete-seeger-hobos-lullaby/,2020-10-15T05:00:00-07:00,2020-10-14T14:02:36-07:00
MatR: Patti Scialfa and Bruce Springsteen: Play It As It Lays,/2020/10/12/matr-patti-scialfa-and-bruce-springsteen-play-it-as-it-lays/,2020-10-12T05:00:00-07:00,2020-10-12T05:15:39-07:00
"MatR: Roy Orbison, Bruce Springsteen and Friends: Uptown",/2020/10/06/matr-roy-orbison-bruce-springsteen-and-friends-uptown/,2020-10-06T05:00:00-07:00,2020-10-05T20:29:37-07:00
MatR: U2 and Bruce Springsteen: Where the Streets Have No Name,/2020/10/02/matr-u2-and-bruce-springsteen-where-the-streets-have-no-name/,2020-10-02T05:00:00-07:00,2021-12-20T18:06:40-08:00
MatR: Patti Scialfa and Bruce Springsteen: Children’s Song,/2020/09/20/matr-patti-scialfa-and-bruce-springsteen-childrens-song/,2020-09-20T05:00:00-07:00,2024-01-02T13:33:41-08:00
MatR: The Patti Smith Group and Bruce Springsteen: We’re Gonna Have a Real Good Time Together,/2020/09/09/matr-the-patti-smith-group-and-bruce-springstee/,2020-09-09T05:00:00-07:00,2020-09-09T06:01:25-07:00
MatR: Jesse Malin and Bruce Springsteen: Wendy,/2020/09/05/matr-jesse-malin-and-bruce-springsteen-wendy/,2020-09-05T05:00:00-07:00,2020-09-04T20:07:25-07:00
MatR: Alejandro Escovedo and Bruce Springsteen: Always a Friend,/2020/08/31/matr-alejandro-escovedo-and-bruce-springsteen-always-a-friend/,2020-08-31T05:00:00-07:00,2020-12-26T09:01:48-08:00
"MatR: Southside Johnny, Little Steven, and Bruce Springsteen: All I Needed Was You",/2020/08/28/matr-southside-johnny-little-steven-and-bruce-s/,2020-08-28T05:00:00-07:00,2020-08-27T15:57:46-07:00
"MatR: Roy Orbison, Bruce Springsteen and Friends: Running Scared",/2020/08/24/matr-roy-orbison-bruce-springsteen-and-friends-running-scared/,2020-08-24T05:00:00-07:00,2020-08-24T05:16:35-07:00
MatR: Bruce Springsteen and Sam Moore: I Thank You,/2020/08/20/matr-bruce-springsteen-and-sam-moore-i-thank-you/,2020-08-20T05:00:00-07:00,2023-01-01T16:02:31-08:00
"MatR: Dion, Bruce Springsteen, Paul Simon, Lou Reed, James Taylor, Billy Joel, and Reuben Blades: A Teenager in Love",/2020/08/16/matr-dion-bruce-springsteen-paul-simon-lou-reed/,2020-08-16T05:00:00-07:00,2020-08-15T22:03:29-07:00
"MatR: Bruce Springsteen, Neil Young, and Exit 105: All Along the Watchtower",/2020/08/13/matr-bruce-springsteen-neil-young-and-exit-105-/,2020-08-13T05:00:00-07:00,2020-08-13T06:00:34-07:00
MatR: Marah and Bruce Springsteen: Float Away,/2020/08/11/matr-marah-and-bruce-springsteen-float-away/,2020-08-11T05:00:00-07:00,2020-08-11T05:46:44-07:00
MatR: Patti Scialfa and Bruce Springsteen: Town Called Heartbreak,/2020/08/09/matr-patti-scialfa-and-bruce-springsteen-town-called-heartbreak/,2020-08-09T05:00:00-07:00,2020-08-09T05:57:29-07:00
"MatR: Prince, Bruce Springsteen, and Madonna: Baby I’m a Star",/2020/08/07/matr-prince-bruce-springsteen-and-madonna-baby-im-a-star/,2020-08-07T05:00:00-07:00,2020-08-06T09:28:17-07:00
"MatR: Pete Seeger, Bruce Springsteen, and Friends: Well May the World Go",/2020/08/03/matr-pete-seeger-bruce-springsteen-and-friends-/,2020-08-03T05:00:00-07:00,2020-08-03T05:43:46-07:00
MatR: Ringo Starr’s All-Starr Band and Bruce Springsteen: Get Back,/2020/07/22/matr-ringo-starr-and-bruce-springsteen-get-back/,2020-07-22T05:00:00-07:00,2020-07-22T05:45:12-07:00
MatR: Bruce Springsteen and just about everybody: Mustang Sally,/2020/07/15/matr-bruce-springsteen-and-just-about-everybody-mustang-sally/,2020-07-15T05:00:00-07:00,2020-07-15T05:24:57-07:00
MatR: John Fogerty and Bruce Springsteen: Deja Vu (All Over Again),/2020/07/11/matr-john-fogerty-and-bruce-springsteen-deja-vu-all-over-again/,2020-07-11T05:00:00-07:00,2024-01-02T12:56:14-08:00
MatR: Joe Grushecky and Bruce Springsteen: East Carson Street,/2020/07/02/matr-joe-grushecky-and-bruce-springsteen-east-carson-street/,2020-07-02T05:00:00-07:00,2020-07-02T04:49:23-07:00
MatR: Bruce Springsteen and Mike Ness: Bad Luck,/2020/06/25/matr-bruce-springsteen-and-mike-ness-bad-luck/,2020-06-25T05:00:00-07:00,2020-06-25T05:21:46-07:00
